Mese;Settimana;Data;Sport;Competizione;Mercato;Stake;Quota;Pot_win;Esito;Tipster;Book;Online_fisico;Live_PM;Profit;Cumulativo
M4_M22;W912_M2;2022-05-14;CALCIO;ITA-4;Risultato Esatto;10.00;7.60;76.00;V;14162;Sisal;O;PM;66.00;415.00
M4_M22;W912_M2;2022-05-14;CALCIO;ITA-1;1X2;25.00;6.00;150.00;P;Ludo;Sisal;O;L;-25.00;390.00
M4_M22;W912_M2;2022-05-14;TENTAV;TTCup;Vincente Set;70.00;1.65;115.50;V;GAD_POP;Sisal;O;L;45.50;435.50
M4_M22;W912_M2;2022-05-14;TENTAV;WinCup;Vincente Set;50.00;2575.00;128.75;V;GAD_POP;Sisal;O;L;78.75;514.25
M4_M22;W913_M3;2022-05-15;TENTAV;WinCup;Vincente Set;50.00;2.25;112.50;P;GAD_POP;Sisal;O;L;-50.00;464.25
M4_M22;W913_M3;2022-05-15;TENTAV;WinCup;Vincente Set;50.00;2.60;130.00;P;GAD_POP;Sisal;O;L;-50.00;414.25
M4_M22;W913_M3;2022-05-15;CALCIO;ITA-4;1X2;10.00;11.50;115.00;P;11815;Sisal;O;PM;-10.00;404.25
M4_M22;W913_M3;2022-05-15;CALCIO;SER-2;1X2;48.00;2.00;96.00;P;ikardi2018;Pokerstars;O;L;-48.00;356.25
M4_M22;W913_M3;2022-05-15;CALCIO;BIH-1;1X2;35.00;3.50;122.50;V;31210;Sisal;O;L;87.50;443.75
M4_M22;W913_M3;2022-05-15;TENTAV;TTCup;Vincente Incontro;85.00;2808.00;238.68;P;GAD_POP;Sisal;O;L;-85.00;358.75
M4_M22;W913_M3;2022-05-15;CALCIO;PER-2;GG/NG;35.00;2.24;78.40;V;Campi Bisenzio;Sisal;O;L;43.40;402.15
M4_M22;W913_M3;2022-05-16;CALCIO;GEO-1;1X2 HT;30.00;4.20;126.00;P;franklapezza;Pokerstars;O;L;-30.00;372.15
M4_M22;W913_M3;2022-05-17;CALCIO;COL-RES;GG/NG;50.00;2.18;109.00;P;cobra_80;Sisal;O;L;-50.00;322.15
M4_M22;W913_M3;2022-05-17;TENNIS;ROLG;Vincente Set;100.00;1.43;143.00;P;Dormivo;Sisal;O;L;-100.00;222.15
M4_M22;W913_M3;2022-05-17;CALCIO;CZE-5;U/O;50.00;3.10;155.00;P;annaladogano97;Sisal;O;L;-50.00;172.15
